feature,importance
ENROLL_YOY,0.04976857819103752
ENROLL_UG_YOY,0.04387344162483472
ENROLL_3Y_TREND,0.029178249596083845
EAP_INST_TENURETRACK,0.0200588604249001
RET_PCF,0.019556829946096536
SFTEBFO,0.019426312393201205
STAFF_YOY,0.017396694218635222
EF_GRADUATE,0.015423108956500583
F1C071,0.015330480135711621
F1B05,0.015270984163650622
F1E06,0.015143908684862149
F1E03,0.014508857339872382
